"_id",descricao
5c78288f0155c13ae0f0e2aa,tipo A
5c7828970155c13ae0f0e2ab,tipo B
5c78289e0155c13ae0f0e2ac,tipo C
5c7829640155c13ae0f0e2ad,produtos ao consumidor (ou bens de consumo) - usados por usuários-finais
5c78297b0155c13ae0f0e2ae,produtos industriais - usados na produção de outros bens
5c7829900155c13ae0f0e2af,bens de conveniência - adquiridos frequentemente e com um esforço mínimo
5c78299e0155c13ae0f0e2b0,bens de impulso - compra por estímulo sensorial imediato
5c7829ab0155c13ae0f0e2b1,bens de emergência - bens necessários imediatamente
5c7829b80155c13ae0f0e2b2,"bens de compra comparada - alguma comparação com outros "
5c7829cb0155c13ae0f0e2b3,bens de especialidade - comparação extensiva com outros bens e uma longa busca por informações
